,Dengue,Dengue_sma7,Acumulado_21,Acumulado,Populacao,Rt,Susceptiveis,Densidade_Dem,Precipitacao_sma7,Temp_med_7sma,Temp_min_7sma,Umidade_7sma,Vento_mps_7sma
924,2,7.6,162,102281,2436962,0.78,2334681,7801,5.5,25.5,22.2,80.3,2.9
925,2,5.0,162,102283,2436962,0.56,2334679,7801,3.8,25.8,22.4,78.6,3.1
926,6,5.3,164,102289,2436962,0.62,2334673,7801,2.7,26.0,22.6,78.5,3.2
927,4,5.3,160,102293,2437571,0.62,2335278,7803,2.7,26.1,22.8,78.7,3.1
928,16,6.3,168,102309,2437571,0.72,2335262,7803,3.9,26.1,22.9,78.9,3.1
929,10,6.3,176,102319,2437571,0.77,2335252,7803,5.7,26.1,23.1,78.9,2.9
930,0,5.7,169,102319,2437571,0.68,2335252,7803,4.9,26.1,23.2,78.7,2.8
931,14,7.4,173,102333,2437571,0.98,2335238,7803,4.7,26.0,23.1,79.0,2.4
932,6,8.0,153,102339,2437571,1.6,2335232,7803,4.8,26.0,23.1,79.9,2.4
933,4,7.7,151,102343,2437571,1.46,2335228,7803,10.2,25.8,23.0,81.2,2.2
934,4,7.7,151,102347,2438180,1.46,2335833,7804,14.3,25.5,22.9,82.9,2.0
936,4,6.0,143,102361,2438180,0.95,2335819,7804,12.7,25.6,22.7,82.6,2.1
937,0,6.0,141,102361,2438180,1.05,2335819,7804,12.1,25.6,22.5,81.8,2.2
938,2,4.3,135,102363,2438180,0.58,2335817,7804,12.1,25.6,22.6,80.9,2.4
939,2,3.7,117,102365,2438180,0.46,2335815,7804,11.9,25.6,22.5,80.4,2.3
940,18,5.7,131,102383,2438180,0.74,2335797,7804,6.5,25.7,22.4,79.4,2.3
941,4,5.7,131,102387,2438789,0.74,2336402,7806,2.6,26.0,22.5,77.2,2.6
942,18,6.9,140,102405,2438789,1.0,2336384,7806,0.1,26.2,22.5,75.8,2.7
943,6,7.1,136,102411,2438789,1.19,2336378,7806,0.1,26.1,22.6,75.5,2.6
944,4,7.7,136,102415,2438789,1.29,2336374,7806,0.1,26.2,22.6,75.3,2.7
947,4,9.1,158,102447,2438789,1.6,2336342,7806,0.1,26.5,22.5,73.2,3.3
948,4,9.1,158,102451,2439398,1.6,2336947,7808,0.1,26.5,22.5,73.2,3.3
949,6,7.4,148,102457,2439398,1.08,2336941,7808,0.1,26.5,22.6,73.6,3.6
950,4,7.1,142,102461,2439398,1.0,2336937,7808,0.1,26.6,22.6,72.5,3.7
951,2,6.9,144,102463,2439398,0.89,2336935,7808,0.1,26.6,22.6,71.6,3.8
952,8,4.9,138,102471,2439398,0.46,2336927,7808,0.1,26.6,22.6,72.2,3.5
953,14,6.0,146,102485,2439398,0.54,2336913,7808,0.1,26.6,22.9,72.8,3.5
954,6,6.3,148,102491,2439398,0.69,2336907,7808,0.1,26.6,23.0,73.1,3.5
955,6,6.6,150,102497,2440007,0.72,2337510,7810,0.0,26.6,22.8,72.1,3.5
956,16,8.0,156,102513,2440007,1.08,2337494,7810,0.0,26.6,22.8,71.9,3.2
957,0,7.4,152,102513,2440007,1.04,2337494,7810,0.0,26.5,22.7,72.5,3.3
958,0,7.1,152,102513,2440007,1.04,2337494,7810,0.0,26.5,22.5,72.8,3.3
959,6,6.9,156,102519,2440007,1.41,2337488,7810,0.0,26.4,22.3,72.2,3.6
960,6,5.7,160,102525,2440007,0.95,2337482,7810,0.0,26.3,22.1,72.1,3.5
961,8,6.0,150,102533,2440007,0.95,2337474,7810,0.0,26.2,22.0,72.6,3.4
962,4,5.7,150,102537,2440615,0.87,2338078,7812,0.0,26.0,22.1,74.0,3.4
963,4,4.0,136,102541,2440615,0.5,2338074,7812,1.2,26.0,22.1,74.9,3.6
964,2,4.3,132,102543,2440615,0.58,2338072,7812,1.3,26.1,22.5,75.6,3.7
965,6,5.1,134,102549,2440615,0.72,2338066,7812,3.4,26.2,22.7,76.3,3.7
966,2,4.6,114,102551,2440615,0.67,2338064,7812,4.5,26.1,23.1,78.5,3.6
967,0,3.7,108,102551,2440615,0.65,2338064,7812,4.6,26.1,23.3,78.9,3.6
968,0,2.6,104,102551,2440615,0.43,2338064,7812,5.0,25.9,23.2,80.4,3.6
969,2,2.3,102,102553,2441224,0.4,2338671,7814,5.7,25.8,23.2,80.3,3.4
970,0,1.7,96,102553,2441224,0.43,2338671,7814,4.6,25.8,23.2,80.0,3.3
971,0,1.4,92,102553,2441224,0.33,2338671,7814,4.5,25.8,23.0,79.6,3.2
975,2,1.1,68,102559,2441224,0.44,2338665,7814,0.8,26.6,22.8,72.1,3.5
976,6,1.7,68,102565,2441833,0.75,2339268,7816,0.0,26.8,23.1,71.1,3.7
977,2,2.0,54,102567,2441833,1.17,2339266,7816,0.0,26.8,23.0,70.5,3.8
978,2,2.3,56,102569,2441833,1.6,2339264,7816,0.0,26.9,23.0,70.2,3.8
983,4,2.1,43,102580,2442442,1.25,2339862,7818,0.0,26.8,23.4,71.5,3.9
984,0,1.9,39,102580,2442442,0.93,2339862,7818,0.0,26.8,23.3,70.8,3.9
985,0,1.6,37,102580,2442442,0.69,2339862,7818,0.0,26.9,23.4,70.8,4.0
986,0,1.6,31,102580,2442442,0.69,2339862,7818,0.0,26.9,23.4,70.6,3.9
988,6,3.7,49,102600,2442442,1.53,2339842,7818,0.1,27.0,23.4,71.4,3.9
994,2,6.0,81,102636,2443051,1.68,2340415,7820,0.3,27.1,24.1,71.8,3.7
996,0,5.4,95,102654,2443051,0.95,2340397,7820,0.1,27.2,24.2,71.0,3.9
997,2,5.7,91,102656,2443660,1.11,2341004,7822,0.1,27.1,24.3,71.3,3.9
998,6,4.9,95,102662,2443660,0.71,2340998,7822,0.1,27.2,24.3,71.0,3.7
999,0,4.6,93,102662,2443660,0.64,2340998,7822,0.1,27.2,24.5,70.6,3.8
1000,0,4.0,93,102662,2443660,0.52,2340998,7822,0.1,27.2,24.2,70.5,3.8
1001,6,4.6,99,102668,2443660,0.76,2340992,7822,0.1,27.3,24.3,69.6,3.9
1002,18,4.6,112,102686,2443660,0.59,2340974,7822,0.0,27.4,24.1,69.3,3.9
1003,2,4.9,112,102688,2443660,0.89,2340972,7822,0.0,27.3,24.0,69.0,3.7
1004,2,4.9,110,102690,2444269,0.85,2341579,7824,0.0,27.3,23.6,68.9,3.6
1005,2,4.3,112,102692,2444269,0.88,2341577,7824,0.2,27.3,23.5,68.5,3.7
1006,0,4.3,112,102692,2444269,0.94,2341577,7824,0.2,27.2,23.3,68.2,3.7
1007,0,4.3,112,102692,2444269,1.07,2341577,7824,0.2,27.2,23.4,68.7,3.7
1008,4,4.0,102,102696,2444269,0.88,2341573,7824,0.2,27.1,23.4,69.4,3.6
1009,2,1.7,98,102698,2444269,0.38,2341571,7824,0.2,27.0,23.3,69.7,3.4
1010,6,2.3,88,102704,2444269,0.47,2341565,7824,0.2,27.0,23.6,69.6,3.5
1011,4,2.6,92,102708,2444878,0.53,2342170,7826,0.2,27.0,23.7,69.4,3.4
1012,0,2.3,80,102708,2444878,0.53,2342170,7826,0.0,26.9,23.5,69.5,3.4
1013,2,2.6,80,102710,2444878,0.6,2342168,7826,0.0,26.9,23.5,69.8,3.2
1014,0,2.6,76,102710,2444878,0.6,2342168,7826,0.0,26.9,23.6,69.5,3.2
1015,0,2.0,74,102710,2444878,0.5,2342168,7826,0.0,26.9,23.7,69.3,3.2
1016,0,1.7,56,102710,2444878,1.0,2342168,7826,0.0,26.9,23.6,68.8,3.3
1017,2,1.1,58,102712,2444878,0.5,2342166,7826,0.0,26.9,23.4,68.8,3.4
1019,2,0.9,52,102714,2445487,0.38,2342773,7828,0.2,27.1,23.8,69.2,3.8
1022,4,1.1,50,102718,2445487,0.57,2342769,7828,0.5,27.3,24.1,68.6,4.1
1023,0,1.1,32,102718,2445487,0.67,2342769,7828,0.5,27.4,24.4,68.6,4.0
1024,6,1.7,36,102724,2445487,1.5,2342763,7828,0.5,27.3,24.3,68.5,3.8
1032,2,2.9,44,102752,2446705,1.0,2343953,7832,0.3,27.2,24.3,71.1,3.5
1033,8,3.7,52,102760,2446705,1.3,2343945,7832,0.4,27.2,24.1,71.0,3.5
1034,4,4.3,54,102764,2446705,1.5,2343941,7832,0.4,27.2,24.1,70.5,3.7
1035,0,4.3,54,102764,2446705,1.5,2343941,7832,0.4,27.3,24.4,69.7,3.7
1036,4,4.3,58,102768,2446705,1.5,2343937,7832,0.4,27.2,24.1,69.6,3.9
1037,8,4.6,66,102776,2446705,1.23,2343929,7832,0.3,27.2,24.3,69.6,3.8
1038,6,4.6,70,102782,2446705,1.23,2343923,7832,0.1,27.4,24.4,69.2,3.8
1040,8,5.1,82,102796,2447314,1.38,2344518,7834,0.0,27.6,24.6,69.3,3.9
1041,4,5.1,86,102800,2447314,1.2,2344514,7834,0.0,27.9,24.9,68.0,3.9
1042,2,5.4,88,102802,2447314,1.27,2344512,7834,0.0,27.9,24.9,68.6,3.8
1043,2,5.1,86,102804,2447314,1.2,2344510,7834,0.0,27.9,25.2,69.1,3.7
1044,4,4.6,90,102808,2447314,1.0,2344506,7834,0.0,28.0,25.0,69.2,3.9
1045,10,5.1,94,102818,2447314,1.13,2344496,7834,0.0,28.0,25.0,69.0,3.6
1046,12,6.0,98,102830,2447923,1.17,2345093,7836,0.0,27.9,25.0,69.1,3.7
1047,4,5.4,100,102834,2447923,1.06,2345089,7836,0.1,27.8,24.8,69.7,3.6
1048,2,5.1,102,102836,2447923,1.0,2345087,7836,0.1,27.6,24.8,70.6,3.6
1049,4,5.4,106,102840,2447923,1.0,2345083,7836,0.1,27.5,24.5,70.4,3.7
1050,6,6.0,108,102846,2447923,1.17,2345077,7836,0.1,27.5,24.5,70.3,3.6
1051,6,6.3,108,102852,2447923,1.38,2345071,7836,0.1,27.5,24.5,70.4,3.5
1052,2,5.1,104,102854,2447923,1.0,2345069,7836,0.5,27.4,24.4,70.9,3.7
1053,12,5.1,114,102866,2448531,0.86,2345665,7838,0.8,27.4,24.4,71.3,3.8
1054,4,5.1,110,102870,2448531,0.95,2345661,7838,0.7,27.5,24.3,70.1,4.2
1055,0,4.9,106,102870,2448531,0.94,2345661,7838,0.7,27.5,24.2,69.6,4.4
1056,0,4.3,106,102870,2448531,0.79,2345661,7838,0.7,27.5,24.3,69.3,4.3
1057,18,6.0,120,102888,2448531,1.0,2345643,7838,0.7,27.4,24.0,68.9,4.3
1058,10,6.6,122,102898,2448531,1.05,2345633,7838,0.7,27.4,24.1,68.3,4.2
1059,8,7.4,124,102906,2448531,1.44,2345625,7838,0.4,27.5,24.4,67.7,4.3
1060,10,7.1,128,102916,2449140,1.39,2346224,7840,0.1,27.5,24.2,67.3,4.2
1061,10,8.0,130,102926,2449140,1.56,2346214,7840,0.1,27.6,24.4,68.0,3.9
1062,0,8.0,126,102926,2449140,1.65,2346214,7840,0.1,27.7,24.7,68.7,3.8
1064,22,9.1,148,102952,2449140,1.52,2346188,7840,0.1,27.9,25.2,69.4,4.1
1065,20,10.6,164,102972,2449140,1.61,2346168,7840,0.6,27.9,25.2,70.5,4.2
1066,14,11.4,168,102986,2449140,1.54,2346154,7840,0.6,27.9,25.3,71.1,4.2
1067,8,11.1,164,102994,2449749,1.56,2346755,7842,0.6,27.9,25.5,71.3,4.2
1068,6,10.6,166,103000,2449749,1.32,2346749,7842,0.5,27.9,25.5,71.7,4.1
1069,2,10.9,166,103002,2449749,1.36,2346747,7842,0.7,27.9,25.5,72.5,4.1
1070,6,11.1,168,103008,2449749,1.3,2346741,7842,0.7,27.8,25.4,72.9,4.0
1071,14,10.0,176,103022,2449749,1.09,2346727,7842,0.7,27.9,25.5,73.0,4.0
1072,12,8.9,182,103034,2449749,0.84,2346715,7842,0.2,28.0,25.5,72.2,4.0
1073,6,7.7,186,103040,2449749,0.68,2346709,7842,0.2,27.9,25.2,71.7,4.0
1074,16,8.9,190,103056,2450358,0.79,2347302,7843,0.2,28.0,25.2,71.7,3.9
1075,12,9.7,198,103068,2450358,0.92,2347290,7843,0.2,27.9,25.1,72.1,3.9
1076,2,9.7,200,103070,2450358,0.89,2347288,7843,0.3,27.8,25.1,72.3,3.6
1077,4,9.4,204,103074,2450358,0.85,2347284,7843,0.3,27.7,24.8,73.1,3.4
1078,27,11.3,213,103101,2450358,1.13,2347257,7843,0.3,27.6,24.5,73.2,3.3
1079,8,10.7,211,103109,2450358,1.21,2347249,7843,0.9,27.4,24.3,74.1,3.2
1080,6,10.7,209,103115,2450358,1.39,2347243,7843,1.1,27.4,24.5,74.8,3.1
1081,6,9.3,205,103121,2450967,1.05,2347846,7845,1.1,27.4,24.6,75.5,3.0
1082,26,11.3,221,103147,2450967,1.16,2347820,7845,2.4,27.3,24.5,76.4,3.0
1083,8,12.1,229,103155,2450967,1.25,2347812,7845,2.2,27.4,24.5,76.2,3.3
1084,4,12.1,229,103159,2450967,1.29,2347808,7845,2.2,27.6,24.9,75.4,3.6
1085,12,10.0,219,103171,2450967,0.89,2347796,7845,2.2,27.6,25.4,76.1,3.5
1086,12,10.6,211,103183,2450967,0.99,2347784,7845,1.6,27.6,25.5,76.3,3.4
1087,10,11.1,207,103193,2450967,1.04,2347774,7845,1.4,27.7,25.6,76.5,3.2
1088,4,10.9,203,103197,2451576,1.17,2348379,7847,1.4,27.7,25.4,77.0,3.1
1089,4,7.7,201,103201,2451576,0.68,2348375,7847,0.2,27.8,25.6,76.2,2.9
1090,2,6.9,201,103203,2451576,0.56,2348373,7847,0.1,27.8,25.6,76.3,2.7
1091,2,6.6,197,103205,2451576,0.54,2348371,7847,0.1,27.9,25.9,76.6,2.8
1092,18,7.4,201,103223,2451576,0.74,2348353,7847,0.1,28.0,25.5,75.8,2.8
1093,14,7.7,203,103237,2451576,0.73,2348339,7847,0.1,28.0,25.3,75.8,2.9
1094,4,6.9,201,103241,2451576,0.62,2348335,7847,0.1,28.0,25.5,75.4,2.9
1095,14,8.3,199,103255,2451576,0.76,2348321,7847,0.0,28.1,25.4,74.6,3.0
1096,4,8.3,191,103259,2452185,1.07,2348926,7849,0.0,28.0,25.4,74.4,3.0
1097,2,8.3,191,103261,2452185,1.21,2348924,7849,0.3,27.8,25.0,75.1,2.9
1098,4,8.6,191,103265,2452185,1.3,2348920,7849,1.6,27.3,24.3,77.1,2.6
1099,16,8.3,180,103281,2452185,1.12,2348904,7849,5.7,27.1,24.0,77.2,2.5
1100,12,8.0,184,103293,2452185,1.04,2348892,7849,5.7,27.1,24.0,76.7,2.5
1101,12,9.1,190,103305,2452185,1.33,2348880,7849,5.7,27.0,23.6,76.5,2.5
1102,2,7.4,186,103307,2452185,0.9,2348878,7849,6.0,27.0,23.8,77.1,2.5
1103,6,7.7,166,103313,2452649,0.93,2349336,7851,6.0,27.0,23.8,77.1,2.7
1104,0,7.4,158,103313,2452649,0.9,2349336,7851,5.7,27.2,24.0,76.5,2.7
1105,12,8.6,166,103325,2452649,1.0,2349324,7851,4.7,27.5,24.2,74.7,2.7
1106,18,8.9,172,103343,2452649,1.07,2349306,7851,0.6,27.7,24.5,74.8,2.8
1107,22,10.3,182,103365,2452649,1.29,2349284,7851,0.6,27.7,24.6,74.7,2.9
1108,18,11.1,190,103383,2452649,1.22,2349266,7851,0.6,27.8,24.7,74.4,2.9
1109,8,12.0,194,103391,2452649,1.62,2349258,7851,0.4,27.9,24.7,73.3,3.1
1110,7,12.1,197,103398,2453113,1.57,2349715,7852,0.4,27.9,24.6,72.4,3.0
1111,2,12.4,197,103400,2453113,1.67,2349713,7852,0.4,28.0,24.9,71.4,3.2
1112,2,11.0,197,103402,2453113,1.28,2349711,7852,0.1,28.1,24.9,69.8,3.3
1113,12,10.1,191,103414,2453113,1.15,2349699,7852,0.0,28.1,24.8,69.5,3.1
1114,4,7.6,181,103418,2453113,0.74,2349695,7852,0.0,28.2,24.8,68.9,3.0
1115,12,6.7,189,103430,2453113,0.6,2349683,7852,0.2,28.1,24.8,69.4,2.9
1116,14,7.6,189,103444,2453113,0.63,2349669,7852,0.2,28.2,24.8,69.5,2.8
1117,18,9.1,203,103462,2453577,0.75,2350115,7854,0.4,28.2,24.8,70.2,2.8
1118,4,9.4,205,103466,2453577,0.76,2350111,7854,0.6,28.2,24.6,70.4,2.8
1119,12,10.9,213,103478,2453577,0.99,2350099,7854,0.6,28.2,24.6,71.1,2.9
1120,16,11.4,213,103494,2453577,1.13,2350083,7854,0.6,28.2,24.7,71.2,3.0
1121,8,12.0,209,103502,2453577,1.58,2350075,7854,0.6,28.2,24.8,72.4,3.0
1123,8,11.7,219,103526,2453577,1.55,2350051,7854,2.2,28.0,24.5,74.3,3.1
1124,0,9.1,213,103526,2454041,1.0,2350515,7855,2.1,28.1,24.5,74.4,3.2
1125,0,8.6,213,103526,2454041,0.91,2350515,7855,2.0,28.1,24.5,74.8,3.2
1126,8,8.0,209,103534,2454041,0.74,2350507,7855,2.0,28.2,24.7,74.9,3.3
1127,24,9.1,215,103558,2454041,0.8,2350483,7855,2.0,28.2,24.8,75.0,3.3
1128,6,8.9,199,103564,2454041,0.74,2350477,7855,2.8,28.3,24.8,74.7,3.5
1129,12,8.3,193,103576,2454041,0.66,2350465,7855,2.4,28.4,25.2,73.8,3.7
1130,6,8.0,191,103582,2454041,0.68,2350459,7855,1.0,28.7,25.5,72.4,3.9
1131,10,9.4,194,103592,2454505,1.03,2350913,7857,0.8,28.9,25.6,72.2,3.8
1132,6,10.3,198,103598,2454505,1.2,2350907,7857,0.8,28.9,25.9,71.9,3.8
1133,0,9.1,196,103598,2454505,1.14,2350907,7857,0.8,28.9,25.8,71.8,3.6
1134,18,8.3,202,103616,2454505,0.91,2350889,7857,0.8,28.9,26.1,72.1,3.7
1135,8,8.6,206,103624,2454505,0.97,2350881,7857,0.1,28.9,26.2,72.4,3.4
1136,4,7.4,198,103628,2454505,0.9,2350877,7857,5.2,28.6,25.8,74.1,3.0
1137,0,6.6,184,103628,2454505,0.82,2350877,7857,5.3,28.5,25.7,74.7,3.0
1138,12,6.9,178,103640,2454969,0.73,2351329,7858,5.3,28.4,25.8,75.1,2.8
1139,0,6.0,174,103640,2454969,0.58,2351329,7858,5.3,28.2,25.6,75.8,2.5
1140,8,7.1,170,103648,2454969,0.78,2351321,7858,5.7,28.0,25.4,77.0,2.6
1141,4,5.1,158,103652,2454969,0.62,2351317,7858,8.9,27.8,24.9,78.0,2.5
1142,8,5.1,158,103660,2454969,0.6,2351309,7858,9.1,27.7,24.9,77.9,2.6
1143,2,4.9,144,103662,2454969,0.65,2351307,7858,4.1,27.9,25.0,77.0,2.9
1144,10,6.3,146,103672,2454969,0.96,2351297,7858,4.0,27.9,25.0,77.3,2.9
1145,10,6.0,156,103682,2455433,0.88,2351751,7860,4.2,27.9,24.7,77.8,3.0
1146,10,7.4,166,103692,2455433,1.24,2351741,7860,4.2,28.1,24.9,77.5,3.4
1147,1,6.4,159,103693,2455433,0.9,2351740,7860,3.9,28.3,25.0,76.2,3.4
1153,14,12.1,179,103777,2455897,1.63,2352120,7861,0.4,28.8,25.7,74.4,2.9
1155,29,12.0,193,103809,2455897,1.15,2352088,7861,0.2,28.8,25.5,73.8,2.9
1156,8,12.6,193,103817,2455897,1.28,2352080,7861,0.2,28.8,25.4,73.4,2.8
1157,14,12.3,203,103831,2455897,1.04,2352066,7861,0.0,28.8,25.5,72.9,2.8
1158,20,14.0,223,103851,2455897,1.21,2352046,7861,0.0,28.9,25.5,72.1,2.7
1159,6,13.4,217,103857,2456361,1.16,2352504,7863,0.0,28.9,25.5,71.7,2.7
1160,10,12.9,227,103867,2456361,1.06,2352494,7863,0.0,28.9,25.4,71.9,2.7
1161,4,13.0,223,103871,2456361,1.05,2352490,7863,0.0,29.0,25.6,71.8,2.6
1162,27,12.7,246,103898,2456361,1.06,2352463,7863,0.0,29.1,25.8,71.2,2.5
1163,14,13.6,252,103912,2456361,1.08,2352449,7863,0.0,29.2,26.1,71.0,2.7
1164,18,14.1,268,103930,2456361,1.15,2352431,7863,0.0,29.3,26.3,70.3,2.7
1165,12,13.0,270,103942,2456361,0.93,2352419,7863,0.0,29.2,26.1,70.5,2.7
1166,6,13.0,266,103948,2456825,0.97,2352877,7864,0.0,29.2,26.2,70.6,2.8
1167,4,12.1,260,103952,2456825,0.94,2352873,7864,0.1,29.2,26.2,70.5,2.9
1168,4,12.1,263,103956,2456825,0.93,2352869,7864,0.5,29.2,26.1,70.6,3.1
1169,25,11.9,256,103981,2456825,0.93,2352844,7864,1.4,29.2,26.1,71.5,3.1
1170,8,11.0,260,103989,2456825,0.81,2352836,7864,1.8,29.2,25.9,71.2,3.3
1171,22,11.6,266,104011,2456825,0.82,2352814,7864,1.8,29.0,25.6,71.8,3.1
1172,28,13.9,286,104039,2456825,1.07,2352786,7864,2.0,29.0,25.7,71.5,3.1
1173,2,13.3,278,104041,2457289,1.02,2353248,7866,2.6,28.8,25.5,72.9,3.0
1174,10,14.1,274,104051,2457289,1.16,2353238,7866,5.4,28.4,25.2,75.2,2.6
1175,4,14.1,275,104055,2457289,1.16,2353234,7866,8.8,28.1,24.8,77.1,2.4
1176,11,12.1,257,104066,2457289,1.02,2353223,7866,11.7,27.7,24.5,78.7,2.1
1177,16,13.3,265,104082,2457289,1.21,2353207,7866,11.8,27.6,24.3,80.2,1.8
1185,34,18.0,302,104232,2457753,1.33,2353521,7867,12.6,27.1,24.0,85.9,1.7
1186,18,18.9,308,104250,2457753,1.67,2353503,7867,12.6,27.4,24.1,84.8,1.9
1187,2,16.9,304,104252,2458217,1.27,2353965,7869,6.5,27.8,24.5,83.8,2.0
1188,26,19.7,326,104278,2458217,1.55,2353939,7869,10.4,27.7,24.4,84.5,1.9
1189,4,19.1,326,104282,2458217,1.44,2353935,7869,9.4,27.9,24.4,83.8,2.0
1190,26,19.7,327,104308,2458217,1.33,2353909,7869,9.4,28.1,24.6,82.6,2.1
1191,10,17.1,329,104318,2458217,1.03,2353899,7869,8.4,28.1,24.6,82.1,2.0
1192,18,14.9,325,104336,2458217,0.83,2353881,7869,9.5,28.1,24.6,82.5,1.7
1193,16,14.6,313,104352,2458217,0.77,2353865,7869,7.8,28.3,24.7,81.6,1.7
1194,8,15.4,319,104360,2458681,0.92,2354321,7870,7.2,28.3,24.7,81.7,1.6
1195,18,14.3,327,104378,2458681,0.72,2354303,7870,3.9,28.2,24.8,82.3,1.8
1196,6,14.6,329,104384,2458681,0.76,2354297,7870,5.4,28.0,24.6,82.5,1.8
1197,23,14.1,341,104407,2458681,0.72,2354274,7870,6.9,27.7,24.3,83.9,1.6
1198,10,14.1,335,104417,2458681,0.83,2354264,7870,13.8,27.5,24.2,84.5,1.7
1199,16,13.9,327,104433,2458681,0.93,2354248,7870,12.7,27.4,24.1,84.6,1.8
1200,8,12.7,323,104441,2458681,0.87,2354240,7870,12.7,27.4,24.0,84.3,2.1
1201,14,13.6,321,104455,2459145,0.88,2354690,7872,13.7,27.3,24.0,84.0,2.2
1210,6,16.4,316,104598,2459609,1.16,2355011,7873,6.4,27.8,24.3,81.9,2.6
1211,14,16.4,304,104612,2459609,1.28,2354997,7873,5.7,27.8,24.3,81.2,2.7
1212,19,16.4,313,104631,2459609,1.16,2354978,7873,3.1,27.9,24.4,80.5,2.9
1213,10,17.0,305,104641,2459609,1.34,2354968,7873,3.1,27.9,24.4,80.5,2.7
1214,29,19.1,318,104670,2459609,1.41,2354939,7873,3.4,27.8,24.4,79.5,2.6
1215,23,16.7,333,104693,2460073,0.97,2355380,7875,2.5,27.8,24.4,79.5,2.4
1216,20,17.3,335,104713,2460073,1.03,2355360,7875,3.4,27.7,24.4,80.6,2.2
1217,10,17.9,339,104723,2460073,1.09,2355350,7875,4.4,27.6,24.4,81.9,2.3
1218,18,18.4,334,104741,2460073,1.12,2355332,7875,6.4,27.4,24.2,83.0,2.2
1219,26,19.4,350,104767,2460073,1.18,2355306,7875,5.7,27.4,24.2,83.1,1.9
1220,22,21.1,356,104789,2460073,1.24,2355284,7875,6.1,27.2,24.1,84.3,1.9
1221,8,18.1,356,104797,2460073,0.95,2355276,7875,6.1,27.2,24.1,84.9,1.9
1222,12,16.6,354,104809,2460537,0.99,2355728,7876,6.4,27.3,24.2,84.7,1.8
1223,4,14.3,338,104813,2460537,0.83,2355724,7876,5.6,27.3,24.1,83.5,1.9
1224,2,13.1,332,104815,2460537,0.74,2355722,7876,4.6,27.4,24.2,82.8,1.9
1225,8,11.7,326,104823,2460537,0.64,2355714,7876,2.1,27.5,24.4,82.3,1.8
1226,1,8.1,308,104824,2460537,0.42,2355713,7876,1.5,27.4,24.3,82.4,1.7
1227,20,7.9,322,104844,2460537,0.37,2355693,7876,1.3,27.7,24.2,81.0,1.8
1228,21,9.7,329,104865,2460537,0.54,2355672,7876,1.2,27.6,24.2,81.5,1.7
1229,30,12.3,319,104895,2461001,0.74,2356106,7878,0.9,27.5,24.2,81.5,1.8
1230,4,12.3,307,104899,2461001,0.86,2356102,7878,0.9,27.6,24.2,81.0,2.0
1231,6,12.9,307,104905,2461001,0.98,2356096,7878,0.9,27.6,24.1,80.2,2.0
1232,24,15.1,317,104929,2461001,1.29,2356072,7878,0.9,27.6,24.1,79.0,2.2
1235,7,12.7,284,104954,2461001,1.31,2356047,7878,0.0,27.8,24.2,75.8,2.7
1236,10,9.9,271,104964,2461465,0.8,2356501,7879,2.3,27.8,24.3,75.8,2.9
1237,11,10.9,262,104975,2461465,0.88,2356490,7879,2.3,27.7,24.3,76.9,2.7
1238,4,10.6,256,104979,2461465,0.82,2356486,7879,2.3,27.8,24.4,77.4,2.8
1239,23,10.4,261,105002,2461465,0.69,2356463,7879,2.5,27.9,24.5,78.4,2.9
1240,16,11.3,251,105018,2461465,0.69,2356447,7879,2.5,28.0,24.6,77.4,3.0
1241,21,13.1,250,105039,2461465,0.89,2356426,7879,3.9,27.9,24.5,79.0,3.0
1242,20,15.0,262,105059,2461465,1.18,2356406,7879,5.4,27.8,24.5,80.0,2.8
1243,17,16.0,267,105076,2461929,1.62,2356853,7881,3.2,28.0,24.5,79.4,2.8
1244,12,16.1,275,105088,2461929,1.49,2356841,7881,3.3,28.0,24.7,78.9,2.8
1245,18,18.1,291,105106,2461929,1.72,2356823,7881,3.3,28.1,24.7,78.5,2.8
1253,38,21.1,347,105276,2462393,1.17,2357117,7882,12.2,27.1,23.4,80.4,2.3
1254,16,20.6,353,105292,2462393,1.11,2357101,7882,3.3,27.2,23.6,79.8,2.6
1255,28,20.3,373,105320,2462393,1.02,2357073,7882,3.3,27.0,23.5,79.4,2.6
1256,16,21.1,382,105336,2462393,1.15,2357057,7882,3.3,26.9,23.2,78.8,2.5
1257,22,20.3,394,105358,2462857,1.01,2357499,7883,1.9,26.8,23.0,77.6,2.5
1258,16,20.0,399,105374,2462857,0.96,2357483,7883,0.9,26.9,23.2,77.5,2.4
1259,18,22.0,413,105392,2462857,1.17,2357465,7883,0.9,27.0,23.5,76.7,2.4
1260,34,21.4,424,105426,2462857,1.01,2357431,7883,0.3,27.1,23.5,76.1,2.5
1261,14,21.1,422,105440,2462857,1.03,2357417,7883,0.0,27.0,23.6,75.4,2.5
1262,42,23.1,443,105482,2462857,1.14,2357375,7883,0.0,27.2,23.6,75.3,2.5
1263,24,24.3,447,105506,2462857,1.15,2357351,7883,0.0,27.2,23.8,76.1,2.8
1264,23,24.4,453,105529,2463321,1.2,2357792,7885,0.2,27.3,23.8,75.8,2.8
1265,14,24.1,455,105543,2463321,1.21,2357778,7885,0.2,27.3,23.7,75.9,2.9
1266,8,22.7,445,105551,2463321,1.03,2357770,7885,0.2,27.2,23.5,75.7,3.0
1267,32,22.4,455,105583,2463321,1.05,2357738,7885,0.2,27.1,23.5,75.8,3.0
